Bin:all	home_number:4534017	home_cali:0.421754042828	home_model:0.412157018615	away_number:4534017	away_cali:0.467504202124	away_model:0.371831439365	end_number:4534017	end_cali:0.1104779713	end_model:0.216011542133	kld:0.042674050397	mae:0.0702677859346
Bin:period_2-scoreDifferential_0-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:75247	home_cali:0.479394527357	home_model:0.4159873823	away_number:75247	away_cali:0.49826571159	away_model:0.37769325014	end_number:75247	end_cali:0.0223397610536	end_model:0.206319367453	kld:0.15639372488	mae:0.122653070968
Bin:period_1-scoreDifferential_-4-zone_nz-manpowerSituation_powerPlay-home_away_1-	home_number:18	home_cali:0.222222222222	home_model:0.398591384292	away_number:18	away_cali:0.777777777778	away_model:0.423147529364	end_number:18	end_cali:0.0	end_model:0.178261098762	kld:0.343613544736	mae:0.236420169749
Bin:period_2-scoreDifferential_-7-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:149	home_cali:1.0	home_model:0.385952013651	away_number:149	away_cali:0.0	away_model:0.37097120405	end_number:149	end_cali:0.0	end_model:0.243076779098	kld:0.952042229783	mae:0.409365323166
Bin:period_1-scoreDifferential_-3-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:135	home_cali:0.22962962963	home_model:0.410196186437	away_number:135	away_cali:0.718518518519	away_model:0.420390822049	end_number:135	end_cali:0.0518518518519	end_model:0.169412989418	kld:0.190517054322	mae:0.198751796948
Bin:period_1-scoreDifferential_0-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:172313	home_cali:0.477027270142	home_model:0.45931909849	away_number:172313	away_cali:0.521092430635	away_model:0.389155960776	end_number:172313	end_cali:0.00188029922293	end_model:0.151524940798	kld:0.161923485627	mae:0.0997630943619
Bin:period_3-scoreDifferential_-5-zone_dz-manpowerSituation_shortHanded-home_away_1-	home_number:395	home_cali:0.136708860759	home_model:0.338017656041	away_number:395	away_cali:0.33417721519	away_model:0.379100392514	end_number:395	end_cali:0.526582278481	end_model:0.282881951785	kld:0.161301998557	mae:0.163310766434
Bin:period_1-scoreDifferential_-1-zone_dz-manpowerSituation_powerPlay-home_away_1-	home_number:3266	home_cali:0.444274341702	home_model:0.443588522538	away_number:3266	away_cali:0.533067973056	away_model:0.397901148024	end_number:3266	end_cali:0.0226576852419	end_model:0.158510328927	kld:0.112503131749	mae:0.0905684292937
Bin:period_3-scoreDifferential_-2-zone_dz-manpowerSituation_shortHanded-home_away_1-	home_number:3200	home_cali:0.346875	home_model:0.38038807685	away_number:3200	away_cali:0.516875	away_model:0.353306381665	end_number:3200	end_cali:0.1359375	end_model:0.266305541135	kld:0.0732506172496	mae:0.109149912107
Bin:period_3-scoreDifferential_2-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:6595	home_cali:0.338438210766	home_model:0.377919265729	away_number:6595	away_cali:0.547990902199	away_model:0.368756557192	end_number:6595	end_cali:0.11326762699	end_model:0.253324177314	kld:0.0885573044185	mae:0.119590650098
Bin:period_2-scoreDifferential_5-zone_dz-manpowerSituation_powerPlay-home_away_1-	home_number:53	home_cali:0.0	home_model:0.403202594451	away_number:53	away_cali:1.0	away_model:0.377848134851	end_number:53	end_cali:0.0	end_model:0.2189492662	kld:0.973262919314	mae:0.4147679086
Bin:period_2-scoreDifferential_1-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:2814	home_cali:0.454157782516	home_model:0.417301623393	away_number:2814	away_cali:0.493248045487	away_model:0.38453783456	end_number:2814	end_cali:0.0525941719972	end_model:0.19816054247	kld:0.091477082709	mae:0.0970442468409
