Bin:all	home_number:4532064	home_cali:0.42193578908	home_model:0.420020000453	away_number:4532064	away_cali:0.467705663468	away_model:0.375441804343	end_number:4532064	end_cali:0.110112081383	end_model:0.204538195013	kld:0.0365042179127	mae:0.0628685871273
Bin:period_2-scoreDifferential_-2-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:396	home_cali:0.366161616162	home_model:0.418997272633	away_number:396	away_cali:0.633838383838	away_model:0.389178656493	end_number:396	end_cali:0.0	end_model:0.191824069969	kld:0.259803376111	mae:0.163106484595
Bin:period_1-scoreDifferential_1-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:1932	home_cali:0.47049689441	home_model:0.459259784061	away_number:1932	away_cali:0.509316770186	away_model:0.396767631944	end_number:1932	end_cali:0.0201863354037	end_model:0.143972582448	kld:0.0989013183488	mae:0.0825241652116
Bin:period_3-scoreDifferential_-7-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:114	home_cali:0.0	home_model:0.28335036022	away_number:114	away_cali:0.210526315789	away_model:0.409204267096	end_number:114	end_cali:0.789473684211	end_model:0.307445370952	kld:0.60461163298	mae:0.321352208262
Bin:period_2-scoreDifferential_5-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:76	home_cali:0.118421052632	home_model:0.480570926478	away_number:76	away_cali:0.881578947368	away_model:0.308265329976	end_number:76	end_cali:0.0	end_model:0.211163738841	kld:0.760446604205	mae:0.382209076693
Bin:period_3-scoreDifferential_2-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:418	home_cali:0.27990430622	home_model:0.376842612	away_number:418	away_cali:0.492822966507	away_model:0.352545920385	end_number:418	end_cali:0.227272727273	end_model:0.270611468827	kld:0.0421759091101	mae:0.0935180311521
Bin:period_3-scoreDifferential_0-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:8434	home_cali:0.399928859379	home_model:0.373926761729	away_number:8434	away_cali:0.436921982452	away_model:0.376144326797	end_number:8434	end_cali:0.163149158169	end_model:0.249928911197	kld:0.0227438207657	mae:0.0578531687774
Bin:period_1-scoreDifferential_1-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:22211	home_cali:0.473188960425	home_model:0.463976965599	away_number:22211	away_cali:0.513979559678	away_model:0.389404250431	end_number:22211	end_cali:0.0128314798973	end_model:0.146618783828	kld:0.12070918958	mae:0.0891915360013
Bin:period_3-scoreDifferential_5-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:3576	home_cali:0.178691275168	home_model:0.347192847828	away_number:3576	away_cali:0.185682326622	away_model:0.373279075317	end_number:3576	end_cali:0.634787472036	end_model:0.279528075315	kld:0.272294367962	mae:0.237119239359
Bin:period_3-scoreDifferential_4-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:1062	home_cali:0.19868173258	home_model:0.338943499812	away_number:1062	away_cali:0.306967984934	away_model:0.40051042617	end_number:1062	end_cali:0.4934086629	end_model:0.260546072228	kld:0.127295997527	mae:0.155555599713
Bin:period_2-scoreDifferential_-1-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:49536	home_cali:0.481367086563	home_model:0.424958949244	away_number:49536	away_cali:0.463824289406	away_model:0.380744732897	end_number:49536	end_cali:0.054808624031	end_model:0.194296317759	kld:0.0821821723517	mae:0.0929917958521
